Plot,Subplot,Plant,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,A1,LEMA,612,12,3,Brassicogethes_sp,30,0,0.007679326301761169,0.007658959337510232,1.0128755364806867,1,2,2,2.036696425093687e-5,1.0026592338924152
1,A1,LEMA,612,12,1,Phaedon_sp,0,0,0.007679326301761169,0.007658959337510232,1.0128755364806867,1,2,2,2.036696425093687e-5,1.0026592338924152
1,A2,CETE,1443,13,1,Bombilus_major,0,0,0.013888888888888886,0.013888888888888886,1,1,1,1,0,1
1,A2,LEMA,810,15,9,Brassicogethes_sp,30,0,0.010250531860344227,0.010193655174341402,0.05680842762387827,1,2,2,5.687668600282483e-5,1.005579616440822
1,A2,LEMA,810,15,1,Psilothrix_viridicoerulea,26,0,0.010250531860344227,0.010193655174341402,0.05680842762387827,1,2,2,5.687668600282483e-5,1.005579616440822
1,A3,CETE,1665,15,1,Lasioglossum_malachurum,0,3,0.019797767793838707,0.013888888888888886,1,1,1,1,0.005908878904949821,1.4254392811563872
1,A3,LEMA,511,7,10,Brassicogethes_sp,58,0,0.011914923297787174,0.011855407542534243,0.5429184549356223,1,2,2,5.9515755252930944e-5,1.0050201357515043
1,A3,LEMA,511,7,1,Malachius_bipustulatus,1,0,0.011914923297787174,0.011855407542534243,0.5429184549356223,1,2,2,5.9515755252930944e-5,1.0050201357515043
1,A4,LEMA,923,13,8,Brassicogethes_sp,58,0,0.012849656332374781,0.012771093805469069,0.12524385485758877,1,2,2,7.856252690571254e-5,1.0061515895272861
1,A4,LEMA,923,13,5,Psilothrix_viridicoerulea,26,0,0.012849656332374781,0.012771093805469069,0.12524385485758877,1,2,2,7.856252690571254e-5,1.0061515895272861
1,A5,LEMA,441,7,15,Brassicogethes_sp,58,0,0.017418810899979834,0.01731180590441825,0.48255950058525166,1,3,3,1.0700499556158191e-4,1.006181041778794
1,A5,LEMA,441,7,2,Elateridae,3,0,0.017418810899979834,0.01731180590441825,0.48255950058525166,1,3,3,1.0700499556158191e-4,1.006181041778794
1,A5,LEMA,441,7,1,Psilothrix_viridicoerulea,26,0,0.017418810899979834,0.01731180590441825,0.48255950058525166,1,3,3,1.0700499556158191e-4,1.006181041778794
1,A6,LEMA,2231,23,9,Brassicogethes_sp,58,0,0.012866457516949955,0.01280558244557744,1.0568084276238783,1,3,3,6.087507137251397e-5,1.0047537916866514
1,A6,LEMA,2231,23,1,Oedemeridae,0,0,0.012866457516949955,0.01280558244557744,1.0568084276238783,1,3,3,6.087507137251397e-5,1.0047537916866514
1,A6,LEMA,2231,23,1,Psilothrix_viridicoerulea,26,0,0.012866457516949955,0.01280558244557744,1.0568084276238783,1,3,3,6.087507137251397e-5,1.0047537916866514
1,B1,CHFU,4608,64,2,Ulidiidae,6,0,0.008684270057723507,0.009085950232496406,0.15384615384615385,1,1,1,-4.01680174772899e-4,0.9557910659320731
1,B1,LEMA,406,7,8,Brassicogethes_sp,58,0,0.012081564451340619,0.012026254336663407,1.052516582130316,1,3,3,5.531011467721156e-5,1.0045991139991604
1,B1,LEMA,406,7,1,Mordellidae,0,0,0.012081564451340619,0.012026254336663407,1.052516582130316,1,3,3,5.531011467721156e-5,1.0045991139991604
1,B1,LEMA,406,7,1,Psilothrix_viridicoerulea,2,0,0.012081564451340619,0.012026254336663407,1.052516582130316,1,3,3,5.531011467721156e-5,1.0045991139991604
1,B2,LEMA,2576,32,10,Brassicogethes_sp,58,0,0.010210271072796307,0.010154643801685936,0.04291845493562232,1,1,1,5.5627271110371065e-5,1.005478013034897
1,B3,LEMA,1117.2058823529412,15.735294117647058,8,Brassicogethes_sp,65,0,0.01029079264789214,0.010232666546996876,0.07069840031213422,1,2,2,5.812610089526299e-5,1.0056804451340517
1,B3,LEMA,1117.2058823529412,15.735294117647058,2,Psilothrix_viridicoerulea,26,0,0.01029079264789214,0.010232666546996876,0.07069840031213422,1,2,2,5.812610089526299e-5,1.0056804451340517
1,B4,CHFU,608,19,1,Ulidiidae,6,0,0.005383801695528421,0.0055846417829148705,0.07692307692307693,1,1,1,-2.008400873864495e-4,0.9640370689484721
1,B4,LEMA,2470,38,9,Brassicogethes_sp,65,0,0.015144635640783496,0.014460440114561652,1.0931720639875147,1,3,3,6.841955262218442e-4,1.0473149863213955
1,B4,LEMA,2470,38,1,Empis_sp,0,1,0.015144635640783496,0.014460440114561652,1.0931720639875147,1,3,3,6.841955262218442e-4,1.0473149863213955
1,B4,LEMA,2470,38,3,Psilothrix_viridicoerulea,27,0,0.015144635640783496,0.014460440114561652,1.0931720639875147,1,3,3,6.841955262218442e-4,1.0473149863213955
1,B5,LEMA,1248,18,8,Brassicogethes_sp,58,0,0.009437838086397927,0.009386524127506147,0.052516582130316035,1,2,2,5.131395889178096e-5,1.0054667689758994
1,B5,LEMA,1248,18,1,Psilothrix_viridicoerulea,26,0,0.009437838086397927,0.009386524127506147,0.052516582130316035,1,2,2,5.131395889178096e-5,1.0054667689758994
1,B6,LEMA,2232,36,1,Andrena_sp,1,0,0.010530209466836367,0.010475477100389607,0.252516582130316,1,3,3,5.4732366446760133e-5,1.005224808943998
1,B6,LEMA,2232,36,8,Brassicogethes_sp,65,0,0.010530209466836367,0.010475477100389607,0.252516582130316,1,3,3,5.4732366446760133e-5,1.005224808943998
1,B6,LEMA,2232,36,1,Psilothrix_viridicoerulea,26,0,0.010530209466836367,0.010475477100389607,0.252516582130316,1,3,3,5.4732366446760133e-5,1.005224808943998
1,C1,CHFU,448,7,1,Empis_sp,0,1,0.012194186297558493,0.014300922369918428,1.1538461538461537,1,2,2,-0.0021067360723599354,0.8526853011389396
1,C1,CHFU,448,7,2,Ulidiidae,6,0,0.012194186297558493,0.014300922369918428,1.1538461538461537,1,2,2,-0.0021067360723599354,0.8526853011389396
1,C1,LEMA,216,3,6,Brassicogethes_sp,30,0,0.008958508736484246,0.00890994425836827,0.24393289114319158,1,3,3,4.8564478115974835e-5,1.0054505928104278
1,C1,LEMA,216,3,1,Elateridae,3,0,0.008958508736484246,0.00890994425836827,0.24393289114319158,1,3,3,4.8564478115974835e-5,1.0054505928104278
